 Run datum (DD-MM-YY) and time: 5-10-2022   8:54

 Case name                                     



 Maxima per event

 Event   Start     Node identification   Node           Maximum_flow  
  nr  year-mon-day                       name               [m3/s]
===========================================================================
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.015
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.000
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.022
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.000
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.050
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.399
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.037
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.076
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.338
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.104
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.118
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.010
   1 1951 Jan   1   ucONGEDRAINEERDVEENG ucONGEDRAINEERD        0.003
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        3.307
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        2.775
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.100
   1 1951 Jan   1   ucGRASLANDVEENGPG-O- ucGRASLANDVEENG        0.003
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.213
   1 1951 Jan   1   ucBOOM_EN_FRUITKWEKE ucBOOM_EN_FRUIT        0.002
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.013
   1 1951 Jan   1   ucONGEDRAINEERDZANDG ucONGEDRAINEERD        0.006
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.005
   1 1951 Jan   1   ucAKKERBOUW_TUINBOUW ucAKKERBOUW_TUI        0.045
   1 1951 Jan   1   ucONGEDRAINEERDKLEIG ucONGEDRAINEERD        0.004
   1 1951 Jan   1   ucGRASLANDKLEIGPG-O- ucGRASLANDKLEIG        0.004
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.001
   1 1951 Jan   1   ucGRASLANDZANDGPG-O- ucGRASLANDZANDG        0.006
