date time,[Input]measUpSW-S570/Water level (op),[SP]Control group of SW-S570/CTR_SW-S570,[Output]SW-S570/Crest level (s),[Status]Control group of SW-S570/CTR_SW-S570,[IntervalRule]Control group of SW-S570/CTR_SW-S570_isActive
2017-06-01 00:00:00,-5.30462354564,-99,-99,,1
2017-06-01 01:00:00,-0.212564557929,-99,-98.82,1,1
2017-06-01 02:00:00,-0.176698649438,-99,-98.64,1,1
2017-06-01 03:00:00,-0.181012721038,-99,-98.46,1,1
2017-06-01 04:00:00,-0.17017377141,-99,-98.28,1,1
2017-06-01 05:00:00,-0.159183570746,-99,-98.1,1,1
2017-06-01 06:00:00,-0.139263473114,-99,-97.92,1,1
2017-06-01 07:00:00,-0.119388711958,-99,-97.74,1,1
2017-06-01 08:00:00,-0.119677855402,-99,-97.56,1,1
2017-06-01 09:00:00,-0.139879818283,-99,-97.38,1,1
2017-06-01 10:00:00,-0.1595365029,-99,-97.2,1,1
2017-06-01 11:00:00,-0.179750668629,-99,-97.02,1,1
2017-06-01 12:00:00,-0.179879184119,-99,-96.84,1,1
2017-06-01 13:00:00,-0.180091664776,-99,-96.66,1,1
2017-06-01 14:00:00,-0.170011611462,-99,-96.48,1,1
2017-06-01 15:00:00,-0.149968827816,-99,-96.3,1,1
2017-06-01 16:00:00,-0.140077942454,-99,-96.12,1,1
2017-06-01 17:00:00,-0.119928436501,-99,-95.94,1,1
2017-06-01 18:00:00,-0.120272106903,-99,-95.76,1,1
2017-06-01 19:00:00,-0.120125806479,-99,-95.58,1,1
2017-06-01 20:00:00,-0.110047097397,-99,-95.4,1,1
2017-06-01 21:00:00,-0.099921094607,-99,-95.22,1,1
2017-06-01 22:00:00,-0.110246470456,-99,-95.04,1,1
2017-06-01 23:00:00,-0.140349086056,-99,-94.86,1,1
2017-06-02 00:00:00,-0.169992641214,-99,-94.68,1,1
2017-06-02 01:00:00,-0.19994122605,-99,-94.5,1,1
2017-06-02 02:00:00,-0.209751884504,-99,-94.32,1,1
2017-06-02 03:00:00,-0.220077019532,-99,-94.14,1,1
2017-06-02 04:00:00,-0.209642534264,-99,-93.96,1,1
2017-06-02 05:00:00,-0.179835648201,-99,-93.78,1,1
2017-06-02 06:00:00,-0.16030557072,-99,-93.6,1,1
2017-06-02 07:00:00,-0.13007024244,-99,-93.42,1,1
2017-06-02 08:00:00,-0.120350576435,-99,-93.24,1,1
2017-06-02 09:00:00,-0.120148456148,-99,-93.06,1,1
2017-06-02 10:00:00,-0.130179299946,-99,-92.88,1,1
2017-06-02 11:00:00,-0.139946180405,-99,-92.7,1,1
2017-06-02 12:00:00,-0.149961427657,-99,-92.52,1,1
