date time,[Input]measUpSW-S570/Water level (op),[SP]Control group of SW-S570/CTR_SW-S570,[Output]SW-S570/Crest level (s),[Status]Control group of SW-S570/CTR_SW-S570,[IntervalRule]Control group of SW-S570/CTR_SW-S570_isActive
2017-06-01 00:00:00,-5.30462354564,-99,-99,,1
2017-06-01 01:00:00,-0.211856088004,-99,-98.82,1,1
2017-06-01 02:00:00,-0.176170040904,-99,-98.64,1,1
2017-06-01 03:00:00,-0.179938362072,-99,-98.46,1,1
2017-06-01 04:00:00,-0.168980446052,-99,-98.28,1,1
2017-06-01 05:00:00,-0.158684682769,-99,-98.1,1,1
2017-06-01 06:00:00,-0.139091021346,-99,-97.92,1,1
2017-06-01 07:00:00,-0.119410455899,-99,-97.74,1,1
2017-06-01 08:00:00,-0.119592520108,-99,-97.56,1,1
2017-06-01 09:00:00,-0.139869296474,-99,-97.38,1,1
2017-06-01 10:00:00,-0.15953575993,-99,-97.2,1,1
2017-06-01 11:00:00,-0.179755097942,-99,-97.02,1,1
2017-06-01 12:00:00,-0.179870639142,-99,-96.84,1,1
2017-06-01 13:00:00,-0.1800904006,-99,-96.66,1,1
2017-06-01 14:00:00,-0.170009203929,-99,-96.48,1,1
2017-06-01 15:00:00,-0.149962685684,-99,-96.3,1,1
2017-06-01 16:00:00,-0.140073490184,-99,-96.12,1,1
2017-06-01 17:00:00,-0.119926854854,-99,-95.94,1,1
2017-06-01 18:00:00,-0.12027518406,-99,-95.76,1,1
2017-06-01 19:00:00,-0.120136613026,-99,-95.58,1,1
2017-06-01 20:00:00,-0.110050765393,-99,-95.4,1,1
2017-06-01 21:00:00,-0.0999169176052,-99,-95.22,1,1
2017-06-01 22:00:00,-0.110253883387,-99,-95.04,1,1
2017-06-01 23:00:00,-0.140369457778,-99,-94.86,1,1
2017-06-02 00:00:00,-0.170005810088,-99,-94.68,1,1
2017-06-02 01:00:00,-0.199942863136,-99,-94.5,1,1
2017-06-02 02:00:00,-0.209745138983,-99,-94.32,1,1
2017-06-02 03:00:00,-0.220073001122,-99,-94.14,1,1
2017-06-02 04:00:00,-0.209626753348,-99,-93.96,1,1
2017-06-02 05:00:00,-0.179813057064,-99,-93.78,1,1
2017-06-02 06:00:00,-0.160292112648,-99,-93.6,1,1
2017-06-02 07:00:00,-0.130061556886,-99,-93.42,1,1
2017-06-02 08:00:00,-0.120353213107,-99,-93.24,1,1
2017-06-02 09:00:00,-0.120157073902,-99,-93.06,1,1
2017-06-02 10:00:00,-0.130198266545,-99,-92.88,1,1
2017-06-02 11:00:00,-0.139958563162,-99,-92.7,1,1
2017-06-02 12:00:00,-0.149973119512,-99,-92.52,1,1
2017-06-02 13:00:00,-0.159998589935,-99,-92.34,1,1
2017-06-02 14:00:00,-0.15988966105,-99,-92.16,1,1
2017-06-02 15:00:00,-0.149759372251,-99,-91.98,1,1
2017-06-02 16:00:00,-0.139953970526,-99,-91.8,1,1
2017-06-02 17:00:00,-0.109979120245,-99,-91.62,1,1
2017-06-02 18:00:00,-0.0801022305001,-99,-91.44,1,1
2017-06-02 19:00:00,-0.0601468933436,-99,-91.26,1,1
2017-06-02 20:00:00,-0.0602460700365,-99,-91.08,1,1
2017-06-02 21:00:00,-0.0805331976788,-99,-90.9,1,1
2017-06-02 22:00:00,-0.119909691347,-99,-90.72,1,1
2017-06-02 23:00:00,-0.15978208999,-99,-90.54,1,1
2017-06-03 00:00:00,-0.190117255404,-99,-90.36,1,1
2017-06-03 01:00:00,-0.199867537706,-99,-90.18,1,1
2017-06-03 02:00:00,-0.189790863483,-99,-90,1,1
2017-06-03 03:00:00,-0.169778079542,-99,-89.82,1,1
2017-06-03 04:00:00,-0.150012174772,-99,-89.64,1,1
2017-06-03 05:00:00,-0.130117600361,-99,-89.46,1,1
2017-06-03 06:00:00,-0.130152699235,-99,-89.28,1,1
2017-06-03 07:00:00,-0.109948771119,-99,-89.1,1,1
2017-06-03 08:00:00,-0.0900087407273,-99,-88.92,1,1
2017-06-03 09:00:00,-0.0901378411307,-99,-88.74,1,1
2017-06-03 10:00:00,-0.100246478388,-99,-88.56,1,1
2017-06-03 11:00:00,-0.13025469225,-99,-88.38,1,1
2017-06-03 12:00:00,-0.149870321499,-99,-88.2,1,1
2017-06-03 13:00:00,-0.13962521247,-99,-88.02,1,1
2017-06-03 14:00:00,-0.150112604154,-99,-87.84,1,1
2017-06-03 15:00:00,-0.170267386007,-99,-87.66,1,1
2017-06-03 16:00:00,-0.179909576228,-99,-87.48,1,1
2017-06-03 17:00:00,-0.159387033007,-99,-87.3,1,1
2017-06-03 18:00:00,-0.10023008245,-99,-87.12,1,1
2017-06-03 19:00:00,-0.0409343140204,-99,-86.94,1,1
2017-06-03 20:00:00,-1.82206822646e-06,-99,-86.76,1,1
2017-06-03 21:00:00,-0.000104844353079,-99,-86.58,1,1
2017-06-03 22:00:00,-0.0403236505315,-99,-86.4,1,1
2017-06-03 23:00:00,-0.079550990749,-99,-86.22,1,1
2017-06-04 00:00:00,-0.109466868435,-99,-86.04,1,1
2017-06-04 01:00:00,-0.109843999806,-99,-85.86,1,1
2017-06-04 02:00:00,-0.110127217712,-99,-85.68,1,1
2017-06-04 03:00:00,-0.0999887609933,-99,-85.5,1,1
2017-06-04 04:00:00,-0.100332979773,-99,-85.32,1,1
2017-06-04 05:00:00,-0.110214572904,-99,-85.14,1,1
2017-06-04 06:00:00,-0.120020145673,-99,-84.96,1,1
2017-06-04 07:00:00,-0.1096182735,-99,-84.78,1,1
