vito,description                                             ,landuse,roughness_manning,infiltcap,pet
20  ,Shrubs                                                  ,20     ,0.055            ,96.0    ,3.0
30  ,Herbaceous vegetation                                   ,30     ,0.044            ,96.0    ,3.0
40  ,Cultivated and managed vegetation/agriculture (cropland),40     ,0.044            ,96.0    ,3.0
50  ,Urban / built up                                        ,50     ,0.050            ,24.0     ,3.0
60  ,Bare / sparse vegetation                                ,60     ,0.044            ,96.0    ,3.0
70  ,Snow and Ice                                            ,70     ,0.025            ,0.0    ,3.0
80  ,Permanent water bodies                                  ,80     ,0.025            ,0.0    ,3.0
90  ,Herbaceous wetland                                      ,90     ,0.044            ,96.0    ,3.0
100 ,Moss and lichen                                         ,100    ,0.085            ,96.0    ,3.0
111 ,Closed forest evergreen needle leaf                     ,111    ,0.055            ,96.0    ,3.0
112 ,Closed forest evergreen broad leaf                      ,112    ,0.055            ,96.0    ,3.0
113 ,Closed forest deciduous needle leaf                     ,113    ,0.055            ,96.0    ,3.0
114 ,Closed forest deciduous broad leaf                      ,114    ,0.055            ,96.0    ,3.0
115 ,Closed forest mixed                                     ,115    ,0.055            ,96.0    ,3.0
116 ,Closed forest unknown                                   ,116    ,0.055            ,96.0    ,3.0
121 ,Open forest evergreen needle leaf                       ,121    ,0.055            ,96.0    ,3.0
122 ,Open forest evergreen broad leaf                        ,122    ,0.055            ,96.0    ,3.0
123 ,Open forest deciduous needle leaf                       ,123    ,0.055            ,96.0    ,3.0
124 ,Open forest deciduous broad leaf                        ,124    ,0.055            ,96.0    ,3.0
125 ,Open forest mixed                                       ,125    ,0.055            ,96.0    ,3.0
126 ,Open forest unknown                                     ,126    ,0.055            ,96.0    ,3.0
200 ,Open sea                                                ,200    ,0.025            ,0.0    ,3.0
0   ,No data                                                 ,-999.0      ,-999.0           ,-999.0   ,-999.0
