Time,S_96840,S_96548
6/1/2016 0:00,16,17.2
6/1/2016 1:00,16,17.2
6/1/2016 2:00,16,17.2
6/1/2016 3:00,16,17.2
6/1/2016 4:00,16,17.2
6/1/2016 5:00,16,17.2
6/1/2016 6:00,16,17.2
6/1/2016 7:00,16,17.2
6/1/2016 8:00,16,17.2
6/1/2016 9:00,16,17.2
6/1/2016 10:00,16,17.2
6/1/2016 11:00,16,17.2
6/1/2016 12:00,16,16.2
6/1/2016 13:00,16,16.2
6/1/2016 14:00,16,16.2
6/1/2016 15:00,16,16.2
6/1/2016 16:00,16,16.2
6/1/2016 17:00,15.5,16.2
6/1/2016 18:00,15.5,16.2
6/1/2016 19:00,15.5,16.2
6/1/2016 20:00,15.5,16.2
6/1/2016 21:00,15.5,16.2
6/1/2016 22:00,15.5,16.2
6/1/2016 23:00,15.5,16.2
6/2/2016 0:00,15.5,16.2
6/2/2016 1:00,15.5,16.2
6/2/2016 2:00,15.5,16.2
6/2/2016 3:00,15.5,16.2
6/2/2016 4:00,15.5,16.2
6/2/2016 5:00,15.5,16.7
6/2/2016 6:00,15.5,16.7
6/2/2016 7:00,15.5,16.7
6/2/2016 8:00,16.4,16.7
6/2/2016 9:00,16.4,16.7
6/2/2016 10:00,16.4,16.7
6/2/2016 11:00,16.4,16.7
6/2/2016 12:00,16.4,16.7
6/2/2016 13:00,16.4,16.7
6/2/2016 14:00,16.4,16.7
6/2/2016 15:00,16.4,16.7
6/2/2016 16:00,16.4,16.7
6/2/2016 17:00,16.4,16.7
6/2/2016 18:00,16.4,16.7
6/2/2016 19:00,16.4,16.7
6/2/2016 20:00,16.4,16.7
6/2/2016 21:00,16.4,16.7
6/2/2016 22:00,16.4,16.7
6/2/2016 23:00,16.4,16.7
6/3/2016 0:00,16.4,16.7
6/3/2016 1:00,16.4,16.7
6/3/2016 2:00,16.4,16.7
6/3/2016 3:00,16.4,16.7
6/3/2016 4:00,16.4,16.7
6/3/2016 5:00,16.4,16.7
6/3/2016 6:00,16.4,16.7
6/3/2016 7:00,16.4,16.7
6/3/2016 8:00,16.4,16.4
6/3/2016 9:00,16.4,16.4
6/3/2016 10:00,16.4,16.4
6/3/2016 11:00,16.4,16.4
6/3/2016 12:00,16.4,16.4
6/3/2016 13:00,16.4,16.4
6/3/2016 14:00,16.4,16.4
6/3/2016 15:00,16.4,16.4
6/3/2016 16:00,16.4,16.4
6/3/2016 17:00,16.4,16.4
6/3/2016 18:00,16.4,16.4
6/3/2016 19:00,16.4,16.4
6/3/2016 20:00,16.4,16.4
6/3/2016 21:00,16.4,16.4
6/3/2016 22:00,16.4,16.4
6/3/2016 23:00,16.4,16.4
6/4/2016 0:00,16.4,16.4
6/4/2016 1:00,16.4,16.4
6/4/2016 2:00,16.4,16.4
6/4/2016 3:00,16.4,16.4
6/4/2016 4:00,16.4,16.4
6/4/2016 5:00,16.4,16.4
6/4/2016 6:00,16.4,16.4
6/4/2016 7:00,16.4,16.4
6/4/2016 8:00,16.4,16.4
6/4/2016 9:00,16.4,16.4
6/4/2016 10:00,16.4,16.9
6/4/2016 11:00,16.4,16.9
6/4/2016 12:00,16.4,16.9
6/4/2016 13:00,16.4,16.9
6/4/2016 14:00,16.4,16.9
6/4/2016 15:00,16.4,16.9
6/4/2016 16:00,16.4,16.9
6/4/2016 17:00,16.4,16.9
6/4/2016 18:00,16.4,16.9
6/4/2016 19:00,16.4,16.9
6/4/2016 20:00,16.4,16.9
6/4/2016 21:00,16.4,16.9
6/4/2016 22:00,16.4,16.9
6/4/2016 23:00,16.4,16.9
6/5/2016 0:00,16.4,16.9
6/5/2016 1:00,16.4,16.9
6/5/2016 2:00,16.4,16.9
6/5/2016 3:00,16.4,16.9
6/5/2016 4:00,16.4,16.9
6/5/2016 5:00,16.4,16.9
6/5/2016 6:00,16.4,16.9
6/5/2016 7:00,16.4,16.9
6/5/2016 8:00,16.4,16.9
6/5/2016 9:00,16.4,16.9
6/5/2016 10:00,16.4,16.9
6/5/2016 11:00,16.4,16.9
6/5/2016 12:00,16.4,16.9
6/5/2016 13:00,16.4,16.9
6/5/2016 14:00,16.4,16.9
6/5/2016 15:00,16.4,16.9
6/5/2016 16:00,16.4,16.9
6/5/2016 17:00,16.4,16.9
6/5/2016 18:00,16.4,16.9
6/5/2016 19:00,16.4,16.9
6/5/2016 20:00,16.4,16.9
6/5/2016 21:00,16.4,16.9
6/5/2016 22:00,16.4,16.9
6/5/2016 23:00,16.4,16.9
6/6/2016 0:00,16.4,16.9
6/6/2016 1:00,16.4,16.9
6/6/2016 2:00,16.4,16.9
6/6/2016 3:00,16.4,16.9
6/6/2016 4:00,16.4,16.9
6/6/2016 5:00,16.4,16.9
6/6/2016 6:00,16.4,16.9
6/6/2016 7:00,16.4,16.9
6/6/2016 8:00,16.4,16.9
6/6/2016 9:00,16.4,16.9
6/6/2016 10:00,16.4,16.9
6/6/2016 11:00,16.2,16.9
6/6/2016 12:00,16.2,16.9
6/6/2016 13:00,16.2,16.9
6/6/2016 14:00,16.2,16.9
6/6/2016 15:00,16.2,16.9
6/6/2016 16:00,16.2,16.9
6/6/2016 17:00,16.2,16.9
6/6/2016 18:00,16.2,16.9
6/6/2016 19:00,16.2,16.9
6/6/2016 20:00,16.2,16.9
6/6/2016 21:00,16.2,16.9
6/6/2016 22:00,16.2,16.9
6/6/2016 23:00,16.2,16.9
6/7/2016 0:00,16.2,16.9
6/7/2016 1:00,16.2,16.9
6/7/2016 2:00,16.2,16.9
6/7/2016 3:00,16.2,16.9
6/7/2016 4:00,16.2,16.9
6/7/2016 5:00,16.2,16.9
6/7/2016 6:00,16.2,16.9
6/7/2016 7:00,16.2,16.9
6/7/2016 8:00,16.2,16.9
6/7/2016 9:00,16.2,16.9
6/7/2016 10:00,16.2,16.9
6/7/2016 11:00,16.2,16.9
6/7/2016 12:00,16.2,16.9
6/7/2016 13:00,16.2,16.9
6/7/2016 14:00,16.2,16.9
6/7/2016 15:00,16.2,16.9
6/7/2016 16:00,16.2,16.9
6/7/2016 17:00,16.2,16.9
6/7/2016 18:00,16.2,16.9
6/7/2016 19:00,16.2,16.9
6/7/2016 20:00,16.2,16.9
6/7/2016 21:00,16.2,16.9
6/7/2016 22:00,16.2,16.9
6/7/2016 23:00,16.2,16.9
6/8/2016 0:00,16.2,16.9
6/8/2016 1:00,16.2,16.9
6/8/2016 2:00,16.2,16.9
6/8/2016 3:00,16.2,16.9
6/8/2016 4:00,16.2,16.9
6/8/2016 5:00,16.2,16.9
6/8/2016 6:00,16.2,16.9
6/8/2016 7:00,16.2,16.9
6/8/2016 8:00,16.2,16.9
6/8/2016 9:00,16.2,16.9
6/8/2016 10:00,16.2,16.9
6/8/2016 11:00,16.2,16.9
6/8/2016 12:00,16.2,16.9
6/8/2016 13:00,16.2,16.9
6/8/2016 14:00,16.2,16.9
